STRIP_NO,STAND_NO,kmCal,kmAct,STRAINRATE_POST,KM,STRAIN_RATE
7447970100,1,110.5117,113.0238,8.204059,110.4957,8.089314
7447970100,2,126.0044,118.6207,17.11216,125.7533,16.55354
7447970100,3,135.816,125.5585,29.93923,135.3111,30.42882
7447970100,4,169.3315,154.9244,45.90419,167.9505,43.79273
7447970100,5,173.9701,175.0615,67.87225,172.335,68.27752
7447970100,6,181.8957,174.3128,76.50352,180.1438,77.98035
7447970100,7,226.7021,243.9276,62.68511,224.8329,70.92019
7447970400,1,122.8676,135.4058,8.087019,122.8233,8.064243
7447970400,2,147.5398,132.334,15.87388,147.7393,15.67493
7447970400,3,154.5104,142.8161,27.97836,153.9901,27.26242
7447970400,4,185.2113,175.2876,36.56244,184.0027,35.33992
7447970400,5,210.6589,190.2756,61.58882,208.3609,56.75026
7447970400,6,236.9778,217.4277,63.581,234.0685,62.60054
7447970400,7,268.5997,252.5935,51.40602,265.1746,56.84848
7447970500,1,127.7847,131.3353,7.608427,127.7945,7.555356
7447970500,2,138.1953,129.0678,15.48398,138.1369,15.25297
7447970500,3,144.2491,136.0542,27.62563,143.668,27.36587
7447970500,4,175.4469,167.1013,36.51406,174.437,36.19288
7447970500,5,195.9908,172.8493,63.7221,194.2943,59.17889
7447970500,6,186.9922,188.3616,69.34981,185.4382,70.16837
7447970500,7,234.1277,231.4022,62.1413,233.1628,59.94342
7447970600,1,128.7431,130.6779,7.634313,128.7646,7.56263
7447970600,2,141.8975,130.4602,15.32363,141.885,15.26251
7447970600,3,150.0039,136.8049,28.02527,149.2294,27.37542
7447970600,4,174.9155,168.3358,36.07373,174.4277,36.19914
7447970600,5,193.5641,171.14,63.2901,192.2759,59.17965
7447970600,6,188.2902,185.651,70.99804,186.6377,70.16097
7447970600,7,235.2667,230.0658,58.43485,233.9814,59.93361
7447970700,1,118.6523,124.6606,7.583352,118.7087,7.58479
7447970700,2,137.4717,124.849,15.47998,137.4731,15.29162
7447970700,3,139.594,133.9624,27.67295,138.989,27.40472
7447970700,4,172.9492,166.9305,36.53183,172.1166,36.2183
7447970700,5,189.6836,172.8649,62.01413,188.1584,59.18216
7447970700,6,187.1466,192.714,71.12749,185.3935,70.13883
7447970700,7,233.5729,239.8014,59.68442,232.0027,59.90386
7447970800,1,120.5206,127.4632,7.585591,120.5759,7.58357
7447970800,2,136.8621,128.53,15.36456,136.802,15.29002
7447970800,3,141.1919,135.6609,27.79856,140.7262,27.4031
7447970800,4,171.7444,169.6604,36.46587,170.694,36.21728
7447970800,5,185.917,172.8135,61.52801,184.4216,59.18212
7447970800,6,186.6169,191.396,71.60726,184.834,70.14011
7447970800,7,225.4477,252.0668,59.27871,223.7191,59.90557
7447975300,1,119.2809,112.1677,8.895355,119.3367,8.836723
7447975300,2,139.909,122.6259,21.55554,139.332,20.82683
7447975300,3,156.3631,159.7937,42.33627,155.4937,42.40885
